datetime,open,high,low,close,volume
2012-08-27,279.75,280.6,277.0,278.2,2767804
2012-08-28,277.2,281.5,276.6,278.4,3762180
2012-08-29,278.55,280.7,271.5,271.85,5615986
2012-08-30,271.7,273.75,265.1,266.15,7694838
2012-08-31,266.35,267.85,263.15,267.0,7074816
2012-09-03,267.5,270.3,266.85,268.95,5920972
2012-09-04,269.1,269.75,266.0,266.25,6694964
2012-09-05,266.25,266.95,263.05,263.25,5085826
2012-09-06,264.25,273.2,263.8,272.5,8158970
2012-09-07,273.3,284.5,273.2,283.45,13483654
2012-09-10,283.0,285.25,281.55,283.65,5644670
2012-09-11,281.85,288.25,280.0,287.0,6662774
2012-09-12,288.25,290.6,285.5,285.55,7796444
2012-09-13,286.35,286.85,281.75,282.85,4788242
2012-09-14,291.55,301.0,291.5,300.5,19275586
2012-09-17,298.5,299.8,293.65,295.75,9562816
2012-09-18,294.6,295.4,287.9,288.5,7852658
2012-09-19,290.0,293.35,276.15,280.1,19662300
2012-09-20,276.55,279.65,272.8,278.1,11319276
2012-09-21,280.05,287.25,278.5,282.0,15301948
2012-09-24,279.15,280.05,276.4,279.45,5765080
2012-09-25,280.0,281.5,277.0,277.5,5631798
2012-09-26,273.95,274.65,265.5,267.1,8836662
2012-09-27,270.25,271.25,264.25,269.55,9867224
2012-09-28,273.5,273.65,262.6,265.35,11675918
2012-10-01,262.5,269.25,261.8,269.05,8394080
2012-10-02,268.0,272.75,266.1,272.2,9313526
2012-10-03,270.9,274.5,269.5,272.4,9620110
2012-10-04,273.15,275.2,268.85,270.35,7020222
2012-10-05,272.55,276.7,271.3,274.6,7175146
2012-10-08,272.3,273.75,271.2,272.6,4562246
2012-10-09,273.4,274.35,270.45,271.05,3737490
2012-10-10,269.8,271.3,268.5,269.65,3944268
2012-10-11,268.15,273.5,267.85,272.5,4651916
2012-10-12,272.75,272.9,268.05,269.5,4220502
2012-10-15,268.8,271.6,268.05,268.95,3424880
2012-10-16,270.55,271.25,268.5,270.5,4115368
2012-10-17,271.0,277.35,269.75,276.0,8104266
2012-10-18,276.8,280.25,274.5,275.0,6734694
2012-10-19,275.0,275.1,270.0,270.35,4650492
2012-10-22,269.3,272.95,268.3,272.6,4495832
2012-10-23,271.3,273.8,268.6,269.6,5856342
2012-10-24,270.9,271.45,265.2,270.15,5751596
2012-10-25,270.6,274.95,269.85,273.7,5907968
2012-10-26,270.7,281.15,270.0,278.5,10073374
2012-10-29,277.35,281.45,276.55,278.2,5073262
2012-10-30,276.75,280.95,274.65,274.75,6122584
2012-10-31,275.1,277.75,271.6,272.5,4151708
2012-11-01,272.2,274.05,268.2,273.0,5317560
2012-11-02,272.5,274.25,269.75,270.75,4137658
2012-11-06,269.45,275.25,269.1,274.9,3927164
2012-11-07,274.95,278.6,270.25,270.65,5678242
2012-11-08,268.6,272.1,263.7,267.45,6794398
2012-11-09,265.7,267.35,260.0,263.6,6968320
2012-11-12,264.15,265.25,261.4,262.95,5457696
2012-11-13,261.0,261.95,254.8,256.5,7444658
2012-11-14,257.5,259.75,251.2,253.95,7162546
2012-11-15,251.45,255.6,251.0,255.1,6154694
2012-11-16,254.05,260.4,253.4,258.7,7997858
2012-11-19,260.5,262.8,259.55,260.0,5456432
2012-11-20,260.8,260.8,257.95,259.5,4816554
2012-11-21,258.25,261.75,257.6,260.3,4364352
2012-11-22,260.65,262.4,259.85,261.0,4171932
2012-11-23,261.8,265.25,259.75,263.55,4340222
2012-11-26,264.15,265.95,261.45,262.0,3946790
2012-11-27,263.35,264.4,256.9,258.9,5992510
2012-11-28,257.4,258.85,255.5,256.0,3671988
2012-11-29,258.65,260.3,256.7,258.05,3834816
2012-11-30,258.25,261.45,256.5,259.65,5188180
2012-12-03,261.2,263.85,260.15,263.1,3703206
2012-12-04,261.5,263.35,259.6,260.2,3482060
2012-12-05,261.5,265.1,261.15,261.5,5030118
2012-12-06,261.5,265.8,261.1,262.75,5296188
2012-12-07,263.25,263.4,260.0,262.7,3674334
2012-12-10,263.2,264.35,261.25,261.65,3535002
2012-12-11,261.4,264.5,260.65,263.3,4616518
2012-12-12,264.4,268.65,264.2,268.0,6964506
2012-12-13,269.0,269.85,265.7,269.4,7640162
2012-12-14,270.1,271.3,267.75,269.55,4476788
2012-12-17,269.8,270.95,268.4,270.2,3417196
2012-12-18,271.8,275.2,271.8,274.55,5192400
2012-12-19,276.15,277.1,273.65,274.35,3827058
2012-12-20,271.85,276.35,270.5,272.45,7772562
2012-12-21,269.25,272.35,269.05,271.8,4064016
2012-12-24,271.0,271.85,269.75,270.05,2027684
2012-12-25,270.8,270.85,269.8,270.5,1643822
2012-12-26,270.3,271.4,270.25,270.95,1221736
2012-12-27,271.5,274.0,270.85,271.1,2930222
2012-12-28,270.85,271.0,267.85,267.95,4041214
2013-01-08,275.0,277.0,274.15,274.6,4663106
2013-01-09,274.65,275.45,272.3,273.95,4087698
2013-01-10,274.6,276.2,273.7,276.2,4423458
2013-01-11,277.05,290.2,277.0,287.7,14927742
2013-01-14,289.0,292.95,287.1,288.75,9133588
2013-01-15,287.5,291.65,286.3,287.0,5906398
2013-01-16,287.5,289.7,285.25,288.55,7003622
2013-01-17,288.15,290.5,287.2,288.75,3506048
2013-01-18,290.1,292.0,289.65,291.15,5407074
2013-01-21,291.3,292.4,289.25,291.65,2887018
2013-01-22,292.3,298.2,287.05,296.8,9021036
2013-01-23,298.3,301.8,295.75,297.35,11666354
2013-01-24,296.5,296.5,292.75,294.95,5967374
2013-01-25,294.5,296.8,293.4,295.7,4427244
2013-01-28,296.55,297.5,295.25,296.45,4629298
2013-01-29,297.0,297.0,289.55,290.0,6155374
2013-01-30,291.05,292.5,280.05,280.45,12296036
2013-01-31,279.5,279.85,275.55,279.1,7588752
2013-02-01,279.9,284.25,279.1,280.75,5991832
2013-02-04,282.75,283.0,274.4,275.4,6575248
2013-02-05,274.4,276.6,272.6,276.5,3692262
2013-02-06,277.5,279.25,270.1,270.1,9039192
2013-02-07,270.95,272.35,268.4,271.1,6447122
2013-02-08,271.5,271.75,267.15,268.15,7772028
2013-02-11,269.0,269.25,265.15,265.5,4984890
2013-02-12,264.95,267.05,262.15,264.0,4534302
2013-02-13,265.15,278.45,265.15,278.2,17425324
2013-02-14,278.8,292.15,278.3,282.35,33565628
2013-02-15,283.8,284.7,275.5,279.95,8518560
2013-02-18,279.8,283.2,277.5,279.95,4055490
2013-02-19,280.5,282.85,278.6,282.45,4650704
2013-02-20,283.0,289.1,279.5,284.45,14101172
2013-02-21,280.0,281.05,271.3,273.4,12308022
2013-02-22,274.25,275.5,270.85,271.75,4486712
2013-02-25,273.0,274.7,268.8,274.45,5208468
2013-02-26,269.0,279.45,267.85,273.9,19903416
2013-02-27,273.9,276.5,271.3,275.75,6508292
2013-02-28,278.65,283.3,277.9,279.4,10954908
2013-03-01,277.85,282.7,276.0,278.55,9155680
2013-03-04,277.75,280.55,275.75,277.5,3991458
2013-03-05,278.75,281.9,277.95,281.15,4212332
2013-03-06,282.05,282.95,278.9,279.05,4202036
2013-03-07,279.55,280.25,278.1,279.05,2024032
2013-03-11,280.45,282.35,279.0,279.4,3879694
2013-03-12,280.2,280.2,278.0,279.0,2653118
2013-03-13,278.65,281.8,278.0,278.75,6182770
2013-03-14,278.2,279.25,275.3,277.05,6041044
2013-03-15,278.6,279.65,276.4,276.75,6331276
2013-03-18,270.85,271.95,260.3,261.85,15587784
2013-03-19,262.5,264.45,255.75,257.4,8957484
2013-03-20,258.7,264.3,258.0,261.9,8099660
2013-03-21,263.65,263.65,257.9,258.4,6591776
2013-03-22,257.95,259.35,256.0,256.0,4798034
2013-03-25,258.85,260.0,251.05,251.45,8524876
2013-03-26,252.25,253.5,241.7,245.0,12228070
2013-03-27,247.2,247.4,237.7,241.25,10686488
2013-03-28,240.95,249.35,238.25,248.75,9888730
2013-03-29,250.15,250.9,247.5,248.5,2258606
2013-04-01,248.2,249.5,245.6,247.5,3690364
2013-04-02,247.35,249.5,244.4,246.15,4660880
2013-04-03,245.5,246.65,241.0,241.95,7447398
2013-04-04,239.6,244.1,236.25,236.5,9980494
2013-04-05,236.75,239.4,230.05,234.0,13153144
2013-04-08,235.5,242.2,232.9,239.4,16681058
2013-04-09,242.05,247.1,238.5,245.0,8825912
2013-04-10,246.1,248.75,239.4,241.35,8533742
2013-04-11,242.05,242.2,236.75,239.05,7607310
